Domain Name,Record Name,Record Type,Record Value
datainsider.info,_26d2e1eb49b34394d51fd2a6e48a48d1.datainsider.info.,CNAME,_7e5359fc8b7b03ab65e33903af14a32a.duyqrilejt.acm-validations.aws.
www.datainsider.info,_6c55c3bec726eb82cf9360b7e9214605.www.datainsider.info.,CNAME,_416f571ddedbaf2c79b70c3a08c82533.duyqrilejt.acm-validations.aws.
